age,size_bucket,n_players,mean_delta_pts_per75,std_delta_pts_per75,mean_delta_ast_per75,std_delta_ast_per75,mean_delta_trb_per75,std_delta_trb_per75,mean_delta_stl_per75,std_delta_stl_per75,mean_delta_blk_per75,std_delta_blk_per75,mean_delta_vorp,std_delta_vorp,mean_delta_bpm,std_delta_bpm,mean_delta_ws_per_48,std_delta_ws_per_48,mean_delta_ts_pct,std_delta_ts_pct,mean_delta_per,std_delta_per
37,Wing,21,-1.4208356871524914,2.4088548857283656,0.018407385112837175,0.9937494380635097,-0.33653899426517225,0.8244211187060442,0.040140615341443815,0.33716463077691067,-0.12372301947433717,0.23185567702245402,-0.4761904761904761,0.868276892416677,-0.9952380952380951,2.379175527462442,-0.01995238095238095,0.056551283089313,-0.01985714285714287,0.05424415702569792,-1.795238095238095,2.9491483839366563
19,Big,39,1.4120136463444688,2.5978596068546382,0.33002577483863116,0.6287246357778404,0.8121970346789422,1.3117828957069602,-0.004558670239257139,0.2839242351253,-0.14866533239362706,0.5548871001133472,0.6717948717948719,0.754616918480642,1.658974358974359,2.3201313425523256,0.03353846153846154,0.04764885051567967,0.03358974358974357,0.04811702726780218,2.2358974358974364,3.1598207127259923
20,Big,96,1.2303842583411886,2.371239694670303,0.3216519134315492,0.6040512871930855,0.1814613379341835,1.3394320559466522,-0.006574247521110664,0.2989347528329358,-0.038012374922550954,0.5598315356822381,0.5395833333333333,0.942949367024513,1.1114583333333332,1.6516575273703984,0.020770833333333332,0.04099871093395028,0.010083333333333333,0.043474533783806106,1.6020833333333335,2.643202967958488
21,Big,153,0.6044365767685418,2.444742842014485,0.08284420551914809,0.5585096533980911,0.2530082892961104,1.3139686633245167,-0.0065685035755979684,0.3116525723820284,-0.07263483716323416,0.5483123070261003,0.21589403973509935,1.087326551086458,0.6980132450331126,2.243523128137989,0.013588235294117646,0.055141269458756755,0.0076535947712418305,0.05477565732165082,0.6993464052287581,3.065115622701655
22,Big,268,0.1865982291318249,2.4036483581562473,0.14551503561632356,0.6228020037764695,0.11809487547452685,1.379201445896638,0.04780824442762481,0.32536438471484774,-0.044002796714547356,0.5974940651814794,0.29473684210526313,0.8871328575186325,0.4473684210526315,1.965945633437726,0.00885820895522388,0.04500847244171589,0.004503731343283582,0.045941462357580884,0.5361940298507463,2.7437493947584994
23,Big,354,0.18682941041056353,2.4585722610431153,0.04436720821311569,0.653357348244265,0.01360338530734326,1.296814900585227,0.01642221390579683,0.3141415729787258,-0.021215422267991654,0.5762579461979163,0.17530120481927713,0.8457061796121591,0.49608433734939755,2.059980428175698,0.009019774011299433,0.04820162039234125,0.008505649717514125,0.052676211463138174,0.4166666666666667,2.746871342429464
24,Big,373,0.05562361601043802,2.4446101772082542,0.14473310484297655,0.6185616996012245,-0.06008890842391043,1.32358296985038,0.003913803124309687,0.33484088752827484,-0.06289775297782747,0.5566492378514448,0.11778425655976676,0.8523471481274575,0.18688046647230314,1.8746625131744477,0.000526881720430107,0.04311486354743263,-0.0018257372654155492,0.04479954375614491,0.14032258064516137,2.679519589887051
25,Big,358,0.014131673507132,2.412143183458931,0.044917708898667724,0.6139324890334911,-0.001513926119860726,1.226281823665921,-0.022380918077940924,0.2958194872333747,-0.05546127024710687,0.5077686714189619,-0.010240963855421692,1.0514055916705252,0.009939759036144585,1.8253809756677788,0.0017170868347338945,0.041592202494500845,0.0036061452513966477,0.04438756817655933,0.00476190476190478,2.5812210249547154
26,Big,338,-0.385038594569494,2.5415535733988674,0.03753688491725938,0.6419387094034119,-0.11124602022289114,1.1679798063709388,-0.006502232224282134,0.31521857928375974,-0.06409480934935897,0.5251103413932843,-0.03555555555555554,1.0037537473302638,-0.06825396825396828,1.9840627266917694,-0.0025430267062314543,0.04635755274779036,-0.0018698224852070984,0.049147699403379534,-0.4572700296735906,2.7564452006395608
27,Big,302,-0.35026853031366606,2.181058889445457,0.044849356685757256,0.653407849899653,-0.05916015113553104,1.2424630779387749,0.0028454689115996884,0.2963012904825059,-0.07237521204914797,0.48663280342962384,-0.05460992907801418,0.9088317304138936,-0.1354609929078014,1.8023762390283438,-0.0032126245847176067,0.04327402577476771,-0.0020596026490066243,0.04252327590698441,-0.36810631229235874,2.655719501125829
28,Big,273,-0.24356949678351092,2.157548147329217,0.022934761271278366,0.6367536339592459,-0.07256006155044807,1.2896600180802258,0.014326543270590473,0.2677171652373195,-0.06417113811065224,0.43032454130814224,-0.06980392156862747,0.8625577470023063,-0.13568627450980394,1.6875473220567616,-0.0026213235294117654,0.041445469278354914,0.001816849816849815,0.04485199690988761,-0.29375,2.5295591079163984
